uf,endereco,cidade,bairro,latitude,longitude,data_ocorrencia,hora_ocorrencia,presenca_agentes,acao_policial,unidades_policiais,motivo_principal,outros_recortes,tipo,situacao,idade,faixa_etaria,raca,genero,local,circunstancias_vitima,qualificacoes_vitima,status_servico,status_politico,posicao_politico,partido_político,posicao_agente,coorporacao_agente,status_agente,tipo_pessoa
Bahia,"Rua Lagoa dos Patos - Lagoa dos Patos - Ipitanga, Lauro de Freitas/BA, 42706-560",LAURO DE FREITAS,IPITANGA,-12.894690487432966,-38.30437052733015,2024-12-29,13:30:00,Sim,Sim,"52ª CIPM, RONDESP, BOPE ",Disputa,Bar,Pessoa,Morta,23.0,Adulto,Negra,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Rua Lagoa dos Patos - Lagoa dos Patos - Ipitanga, Lauro de Freitas/BA, 42706-560",LAURO DE FREITAS,IPITANGA,-12.894690487432966,-38.30437052733015,2024-12-29,13:30:00,Sim,Sim,"52ª CIPM, RONDESP, BOPE ",Disputa,Bar,Pessoa,Morta,44.0,Adulto,Negra,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Chafariz, Vila Praiana - Lauro de Freitas - BA",LAURO DE FREITAS,VILA PRAIANA,-12.897170638191533,-38.30795446001955,2024-12-29,11:00:00,Não,Não,,Disputa,Bar,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Chafariz, Vila Praiana - Lauro de Freitas - BA",LAURO DE FREITAS,VILA PRAIANA,-12.897170638191533,-38.30795446001955,2024-12-29,11:00:00,Não,Não,,Disputa,Bar,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"Chafariz, Vila Praiana - Lauro de Freitas - BA",LAURO DE FREITAS,VILA PRAIANA,-12.897170638191533,-38.30795446001955,2024-12-29,11:00:00,Não,Não,,Disputa,Bar,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Bar,Chacina,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,"R. Acácia Vermelha - Gleba E, Camaçari - BA",CAMACARI,GLEBA E,-12.726373095450144,-38.3300260846546,2024-12-27,19:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Barbearia,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Rio de Janeiro,"Av. Brasil - São Cristóvão, Rio de Janeiro - RJ, 20940-070, Brasil",RIO DE JANEIRO,SAO CRISTOVAO,-22.888743954128177,-43.22181971321126,2024-12-28,22:30:00,Sim,Sim,4 BPM,Ação policial,,Pessoa,Ferida,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Agente de segurança,Não se aplica,Não se aplica,Não se aplica,,Não identificado,Polícia Militar,Em serviço,Agente
Bahia,"Vila Verde - Mussurunga, Salvador - BA",SALVADOR,MUSSURUNGA,-12.911183793050949,-38.37640820338162,2024-12-28,17:00:00,Não,Não,,Homicidio/Tentativa,,Pessoa,Morta,14.0,Adolescente,Negra,Mulher cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,Areia Branca - Lauro de Freitas - BA,LAURO DE FREITAS,AREIA BRANCA,-12.835626715288983,-38.35224384675762,2024-12-27,22:00:00,Sim,Sim,PM,Ação policial,,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
Bahia,Areia Branca - Lauro de Freitas - BA,LAURO DE FREITAS,AREIA BRANCA,-12.835626715288983,-38.35224384675762,2024-12-27,22:00:00,Sim,Sim,PM,Ação policial,,Pessoa,Morta,,Adulto,Não identificado,Homem cis,Sem identificação,Sem identificação,Não identificado,Não se aplica,Não se aplica,Não se aplica,,Não se aplica,Não se aplica,Não se aplica,Civíl
