uf,cidade,bairro,latitude,longitude,data_ocorrencia,fonte_ocorrencia,presenca_agentes,acao_policial,civis_mortos_ocorrencia,civis_feridos_ocorrencia,agentes_mortos_ocorrencia,agentes_feridos_ocorrencia,chacina_ocorrencia,motivo_principal,color,mortos_total,feridos_total,mes
Bahia,CANDEIAS,PASSAGEM DOS TEIXEIRAS,-12.736379963938017,-38.44068202558688,2024-04-05 06:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,COSTA BARROS,-22.82425288,-43.36809439,2024-04-05 15:45:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,PRACA SECA,-22.890407298854136,-43.34339652683898,2024-04-05 14:50:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,CAJUEIRO SECO,-8.184372657074695,-34.93848431038133,2024-04-05 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,ITAGUAÍ,VILA MARGARIDA,-22.8755117,-43.793237,2024-04-05 09:30:00,Imprensa,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,BRAS DE PINA,-22.8319077,-43.3064376,2024-04-04 21:30:00,Usuário,Não,Não,,,,,Não,Não identificado,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,CAVALCANTI,-22.86902669,-43.31696145,2024-04-05 10:10:00,Usuário,Sim,Sim,,,,,Não,Operação policial,#fe9600,,,4
Bahia,SALVADOR,ENGENHO VELHO DE BROTAS,-12.9856348,-38.4979448,2024-04-04 21:00:00,Imprensa,Sim,Sim,1.0,,,,Não,Ação policial,#fe9600,,,4
Pernambuco,JABOATAO DOS GUARARAPES,BARRA DE JANGADA,-8.2125711,-34.9278309,2024-04-04 18:30:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,GOIANA,GOIANA,-7.565018400000012,-34.99780401534424,2024-04-04 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,TORROES,-8.06274,-34.93224,2024-04-04 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Pernambuco,RECIFE,JARDIM SAO PAULO,-8.0819063,-34.9503844,2024-04-05 00:00:00,Imprensa,Não,Não,,1.0,,,Não,Homicidio/Tentativa,#fe9600,,,4
Rio de Janeiro,RIO DE JANEIRO,LEME,-22.95851046,-43.1704813,2024-04-05 07:10:00,Polícia,Sim,Sim,,1.0,,,Não,Operação policial,#fe9600,,,4
Pernambuco,CABO DE SANTO AGOSTINHO,NI,-8.305735,-35.0966053,2024-04-04 00:00:00,Imprensa,Não,Não,1.0,,,,Não,Homicidio/Tentativa,#fe9600,,,4
